date,home,away,home_score,away_score,league,odds_1,odds_x,odds_2
2023-05-19,Chartres SC,Verdun AC,1,1,Ligue Demo,1.5,4.65,5.77
2023-05-20,Chartres SC,Albi SC,2,1,Ligue Demo,1.59,4.43,4.98
2023-05-21,Perpignan FC,Quimper FC,2,2,Ligue Demo,1.58,4.91,4.59
2023-05-23,Chartres SC,Tarbes AS,2,0,Ligue Demo,1.98,3.66,3.61
2023-05-24,Annecy SC,Perpignan FC,2,1,Ligue Demo,1.51,4.81,5.45
2023-05-25,Albi SC,Rouen FC,0,0,Ligue Demo,6.26,6.04,1.37
2023-05-26,Perpignan FC,Albi SC,2,2,Ligue Demo,1.49,5.04,5.43
2023-05-27,Annecy SC,Verdun AC,1,0,Ligue Demo,1.16,7.97,14.65
2023-05-28,Colmar United,Albi SC,3,0,Ligue Demo,1.36,6.02,6.52
2023-05-30,Vannes AC,Tarbes AS,0,1,Ligue Demo,1.47,5.15,5.59
2023-05-31,Vannes AC,Quimper FC,4,2,Ligue Demo,1.36,5.4,7.46
2023-06-01,Laval CF,Quimper FC,2,2,Ligue Demo,1.96,4.39,3.15
2023-06-02,Vannes AC,Albi SC,0,2,Ligue Demo,1.27,5.86,10.07
2023-06-03,Colmar United,Perpignan FC,2,3,Ligue Demo,2.12,3.7,3.19
2023-06-04,Biarritz OL,Vannes AC,2,0,Ligue Demo,2.36,4.26,2.52
2023-06-06,Vannes AC,Rouen FC,0,2,Ligue Demo,2.42,3.59,2.75
2023-06-07,Tarbes AS,Colmar United,2,2,Ligue Demo,3.04,3.45,2.3
2023-06-08,Quimper FC,Colmar United,0,3,Ligue Demo,3.55,3.81,1.96
2023-06-09,Tarbes AS,Annecy SC,1,2,Ligue Demo,4.11,3.87,1.81
2023-06-10,Annecy SC,Colmar United,1,1,Ligue Demo,1.71,4.62,3.96
2023-06-11,Verdun AC,Albi SC,0,1,Ligue Demo,2.57,3.12,2.89
2023-06-13,Albi SC,Vannes AC,0,4,Ligue Demo,5.39,4.51,1.54
2023-06-14,Chartres SC,Annecy SC,1,3,Ligue Demo,3.14,4.4,1.96
2023-06-15,Colmar United,Laval CF,1,2,Ligue Demo,1.51,5.44,4.82
2023-06-16,Chartres SC,Laval CF,5,0,Ligue Demo,1.93,4.31,3.28
2023-06-17,Chartres SC,Colmar United,2,1,Ligue Demo,2.77,3.8,2.32
2023-06-18,Verdun AC,Vannes AC,0,6,Ligue Demo,5.69,4.74,1.5
2023-06-20,Rouen FC,Quimper FC,4,5,Ligue Demo,1.23,6.71,10.88
2023-06-21,Annecy SC,Biarritz OL,1,2,Ligue Demo,1.55,5.1,4.73
2023-06-22,Laval CF,Chartres SC,1,4,Ligue Demo,2.4,4.18,2.5
2023-06-23,Verdun AC,Rouen FC,0,3,Ligue Demo,9.19,6.29,1.27
2023-06-24,Chartres SC,Vannes AC,3,1,Ligue Demo,3.28,3.72,2.08
2023-06-25,Rouen FC,Laval CF,2,0,Ligue Demo,1.26,6.85,8.5
2023-06-27,Perpignan FC,Chartres SC,3,1,Ligue Demo,1.98,3.7,3.57
2023-06-28,Colmar United,Chartres SC,1,0,Ligue Demo,1.63,4.79,4.3
2023-06-29,Albi SC,Annecy SC,2,1,Ligue Demo,5.11,5.0,1.52
2023-06-30,Annecy SC,Vannes AC,2,1,Ligue Demo,1.94,4.6,3.1
2023-07-01,Laval CF,Albi SC,4,2,Ligue Demo,1.95,3.42,4.02
2023-07-02,Quimper FC,Vannes AC,0,3,Ligue Demo,4.41,5.14,1.58
2023-07-04,Colmar United,Verdun AC,3,2,Ligue Demo,1.32,6.35,7.06
2023-07-05,Laval CF,Rouen FC,0,0,Ligue Demo,5.04,4.88,1.53
2023-07-06,Annecy SC,Albi SC,2,0,Ligue Demo,1.28,5.93,9.78
2023-07-07,Annecy SC,Rouen FC,3,1,Ligue Demo,2.39,3.98,2.6
2023-07-08,Laval CF,Verdun AC,0,2,Ligue Demo,1.7,4.27,4.29
2023-07-09,Rouen FC,Chartres SC,3,1,Ligue Demo,1.45,4.58,6.84
2023-07-11,Vannes AC,Annecy SC,6,1,Ligue Demo,2.39,3.93,2.62
2023-07-12,Colmar United,Biarritz OL,2,2,Ligue Demo,1.94,3.99,3.47
2023-07-13,Albi SC,Laval CF,0,0,Ligue Demo,2.71,3.85,2.34
2023-07-14,Tarbes AS,Verdun AC,2,1,Ligue Demo,1.68,3.96,4.79
2023-07-15,Rouen FC,Biarritz OL,2,1,Ligue Demo,1.49,5.04,5.43
2023-07-16,Biarritz OL,Verdun AC,4,1,Ligue Demo,1.45,4.74,6.49
2023-07-18,Colmar United,Annecy SC,1,1,Ligue Demo,2.57,4.46,2.27
2023-07-19,Vannes AC,Chartres SC,1,0,Ligue Demo,1.78,3.95,4.17
2023-07-20,Quimper FC,Tarbes AS,3,1,Ligue Demo,2.47,4.26,2.4
2023-07-21,Biarritz OL,Tarbes AS,1,0,Ligue Demo,1.8,3.92,4.09
2023-07-22,Perpignan FC,Verdun AC,0,2,Ligue Demo,1.44,4.58,7.06
2023-07-23,Annecy SC,Laval CF,2,0,Ligue Demo,1.35,5.56,7.46
2023-07-25,Verdun AC,Quimper FC,1,1,Ligue Demo,2.85,3.81,2.26
2023-07-26,Quimper FC,Albi SC,3,1,Ligue Demo,1.92,3.83,3.65
2023-07-27,Albi SC,Perpignan FC,2,6,Ligue Demo,2.84,3.9,2.24
2023-07-28,Perpignan FC,Laval CF,3,2,Ligue Demo,1.7,4.26,4.3
2023-07-29,Biarritz OL,Chartres SC,1,4,Ligue Demo,1.86,4.53,3.36
2023-07-30,Tarbes AS,Biarritz OL,3,2,Ligue Demo,3.1,3.84,2.12
2023-08-01,Tarbes AS,Vannes AC,2,2,Ligue Demo,3.51,3.89,1.95
2023-08-02,Biarritz OL,Quimper FC,1,2,Ligue Demo,1.55,4.69,5.05
2023-08-03,Vannes AC,Colmar United,1,1,Ligue Demo,1.96,4.35,3.18
2023-08-04,Colmar United,Quimper FC,2,0,Ligue Demo,1.54,4.81,5.04
2023-08-05,Tarbes AS,Rouen FC,1,5,Ligue Demo,4.04,5.02,1.64
2023-08-06,Quimper FC,Chartres SC,3,3,Ligue Demo,2.48,4.49,2.33
2023-08-08,Perpignan FC,Vannes AC,0,1,Ligue Demo,2.49,4.57,2.3
2023-08-09,Verdun AC,Biarritz OL,2,5,Ligue Demo,4.75,4.81,1.57
2023-08-10,Tarbes AS,Quimper FC,4,0,Ligue Demo,2.02,3.78,3.4
2023-08-11,Tarbes AS,Laval CF,4,3,Ligue Demo,2.37,3.64,2.79
2023-08-12,Biarritz OL,Albi SC,1,1,Ligue Demo,1.45,4.72,6.49
2023-08-13,Annecy SC,Tarbes AS,4,1,Ligue Demo,1.29,6.8,7.7
2023-08-15,Rouen FC,Albi SC,0,0,Ligue Demo,1.2,6.76,13.3
2023-08-16,Perpignan FC,Colmar United,1,5,Ligue Demo,2.51,3.99,2.46
2023-08-17,Laval CF,Biarritz OL,1,2,Ligue Demo,3.24,4.41,1.92
2023-08-18,Laval CF,Tarbes AS,3,2,Ligue Demo,2.14,4.34,2.8
2023-08-19,Biarritz OL,Laval CF,1,1,Ligue Demo,1.83,3.75,4.13
2023-08-20,Laval CF,Colmar United,0,0,Ligue Demo,2.8,4.42,2.12
2023-08-22,Vannes AC,Perpignan FC,3,0,Ligue Demo,1.61,4.67,4.52
2023-08-23,Rouen FC,Colmar United,1,0,Ligue Demo,1.58,5.07,4.45
2023-08-24,Colmar United,Vannes AC,3,3,Ligue Demo,2.49,4.09,2.44
2023-08-25,Chartres SC,Perpignan FC,3,0,Ligue Demo,2.35,4.33,2.51
2023-08-26,Albi SC,Chartres SC,1,2,Ligue Demo,2.73,4.25,2.21
2023-08-27,Annecy SC,Chartres SC,0,2,Ligue Demo,1.45,5.85,5.2
2024-01-22,Quimper FC,Verdun AC,3,0,Ligue Demo,1.76,3.89,4.37
2024-01-23,Laval CF,Biarritz OL,1,2,Ligue Demo,2.91,4.37,2.07
2024-01-24,Laval CF,Quimper FC,0,1,Ligue Demo,1.89,4.38,3.35
2024-01-25,Colmar United,Verdun AC,2,1,Ligue Demo,1.28,5.76,10.08
2024-01-26,Quimper FC,Colmar United,0,3,Ligue Demo,4.03,3.89,1.82
2024-01-27,Annecy SC,Colmar United,2,0,Ligue Demo,1.84,3.99,3.85
2024-01-29,Albi SC,Annecy SC,0,2,Ligue Demo,5.88,4.4,1.52
2024-01-30,Annecy SC,Chartres SC,1,1,Ligue Demo,1.44,5.52,5.6
2024-01-31,Rouen FC,Tarbes AS,5,2,Ligue Demo,1.36,5.44,7.43
2024-02-01,Vannes AC,Annecy SC,1,0,Ligue Demo,2.35,4.52,2.44
2024-02-02,Albi SC,Vannes AC,1,2,Ligue Demo,4.68,3.92,1.71
2024-02-03,Perpignan FC,Rouen FC,2,0,Ligue Demo,3.76,4.48,1.77
2024-02-05,Verdun AC,Rouen FC,2,5,Ligue Demo,8.33,7.29,1.25
2024-02-06,Tarbes AS,Laval CF,3,3,Ligue Demo,2.09,3.6,3.34
2024-02-07,Colmar United,Quimper FC,4,3,Ligue Demo,1.55,4.36,5.54
2024-02-08,Chartres SC,Verdun AC,3,0,Ligue Demo,1.56,4.23,5.69
2024-02-09,Rouen FC,Vannes AC,4,1,Ligue Demo,1.63,4.44,4.62
2024-02-10,Annecy SC,Tarbes AS,1,0,Ligue Demo,1.42,5.34,6.13
2024-02-12,Quimper FC,Perpignan FC,3,0,Ligue Demo,3.14,3.68,2.15
2024-02-13,Laval CF,Perpignan FC,0,2,Ligue Demo,2.68,3.48,2.54
2024-02-14,Chartres SC,Albi SC,2,2,Ligue Demo,1.59,4.45,5.01
2024-02-15,Verdun AC,Chartres SC,0,3,Ligue Demo,3.77,4.15,1.82
2024-02-16,Laval CF,Chartres SC,1,3,Ligue Demo,2.4,3.84,2.64
2024-02-17,Tarbes AS,Rouen FC,2,3,Ligue Demo,4.57,4.55,1.62
2024-02-19,Annecy SC,Perpignan FC,1,0,Ligue Demo,1.61,4.31,4.93
2024-02-20,Chartres SC,Biarritz OL,1,2,Ligue Demo,2.32,4.07,2.65
2024-02-21,Tarbes AS,Albi SC,2,2,Ligue Demo,1.82,4.91,3.3
2024-02-22,Albi SC,Chartres SC,2,2,Ligue Demo,2.53,3.82,2.52
2024-02-23,Colmar United,Rouen FC,1,4,Ligue Demo,3.36,4.52,1.87
2024-02-24,Laval CF,Vannes AC,1,0,Ligue Demo,3.48,5.15,1.74
2024-02-26,Chartres SC,Quimper FC,2,0,Ligue Demo,1.74,4.63,3.76
2024-02-27,Chartres SC,Perpignan FC,1,2,Ligue Demo,2.4,3.84,2.64
2024-02-28,Laval CF,Annecy SC,1,5,Ligue Demo,3.52,5.82,1.67
2024-02-29,Verdun AC,Quimper FC,2,1,Ligue Demo,2.85,3.75,2.28
2024-03-01,Perpignan FC,Annecy SC,2,0,Ligue Demo,3.36,4.32,1.9
2024-03-02,Tarbes AS,Vannes AC,3,1,Ligue Demo,3.63,4.07,1.87
2024-03-04,Biarritz OL,Annecy SC,2,3,Ligue Demo,3.12,4.01,2.06
2024-03-05,Verdun AC,Annecy SC,2,1,Ligue Demo,6.52,5.92,1.36
2024-03-06,Vannes AC,Rouen FC,1,1,Ligue Demo,2.35,5.38,2.26
2024-03-07,Colmar United,Biarritz OL,3,1,Ligue Demo,2.18,3.56,3.18
2024-03-08,Colmar United,Laval CF,3,0,Ligue Demo,1.64,4.24,4.81
2024-03-09,Perpignan FC,Albi SC,2,0,Ligue Demo,1.71,4.56,4.01
2024-03-11,Vannes AC,Laval CF,1,1,Ligue Demo,1.5,4.91,5.41
2024-03-12,Biarritz OL,Vannes AC,2,2,Ligue Demo,2.31,4.31,2.56
2024-03-13,Vannes AC,Chartres SC,2,1,Ligue Demo,1.67,4.91,3.94
2024-03-14,Perpignan FC,Quimper FC,0,1,Ligue Demo,1.68,4.5,4.2
2024-03-15,Perpignan FC,Laval CF,1,2,Ligue Demo,1.84,4.41,3.51
2024-03-16,Annecy SC,Rouen FC,2,0,Ligue Demo,2.51,4.0,2.46
2024-03-18,Albi SC,Quimper FC,2,0,Ligue Demo,2.42,3.63,2.73
2024-03-19,Albi SC,Tarbes AS,2,2,Ligue Demo,2.54,3.97,2.44
2024-03-20,Albi SC,Verdun AC,1,0,Ligue Demo,2.16,3.33,3.44
2024-03-21,Colmar United,Vannes AC,1,2,Ligue Demo,2.64,3.85,2.4
2024-03-22,Vannes AC,Albi SC,2,1,Ligue Demo,1.41,5.06,6.75
2024-03-23,Chartres SC,Laval CF,5,0,Ligue Demo,1.86,3.67,4.07
2024-03-25,Biarritz OL,Rouen FC,0,2,Ligue Demo,3.6,4.56,1.79
2024-03-26,Tarbes AS,Verdun AC,1,0,Ligue Demo,1.6,4.53,4.73
2024-03-27,Tarbes AS,Biarritz OL,0,0,Ligue Demo,2.66,4.21,2.26
2024-03-28,Annecy SC,Verdun AC,7,1,Ligue Demo,1.17,7.58,14.49
2024-03-29,Quimper FC,Biarritz OL,4,2,Ligue Demo,3.06,4.32,2.01
2024-03-30,Quimper FC,Tarbes AS,1,2,Ligue Demo,2.28,4.21,2.64
2024-04-01,Albi SC,Laval CF,0,3,Ligue Demo,2.31,3.7,2.85
2024-04-02,Albi SC,Colmar United,2,0,Ligue Demo,4.43,4.73,1.62
2024-04-03,Laval CF,Tarbes AS,3,0,Ligue Demo,2.24,3.73,2.94
2024-04-04,Colmar United,Annecy SC,2,1,Ligue Demo,2.49,3.73,2.6
2024-04-05,Vannes AC,Tarbes AS,4,1,Ligue Demo,1.58,4.94,4.58
2024-04-06,Rouen FC,Laval CF,2,1,Ligue Demo,1.28,6.78,8.08
2024-04-08,Annecy SC,Quimper FC,2,1,Ligue Demo,1.36,5.15,7.99
2024-04-09,Vannes AC,Biarritz OL,4,3,Ligue Demo,1.67,4.56,4.23
2024-04-10,Laval CF,Albi SC,1,1,Ligue Demo,1.84,4.34,3.56
2024-04-11,Quimper FC,Annecy SC,1,2,Ligue Demo,4.72,4.73,1.58
2024-04-12,Verdun AC,Laval CF,0,1,Ligue Demo,2.93,4.67,2.0
2024-04-13,Biarritz OL,Chartres SC,4,0,Ligue Demo,1.92,3.97,3.53
2024-04-15,Quimper FC,Rouen FC,1,5,Ligue Demo,5.09,5.46,1.48
2024-04-16,Colmar United,Albi SC,2,0,Ligue Demo,1.61,3.97,5.55
2024-04-17,Vannes AC,Perpignan FC,3,0,Ligue Demo,1.74,4.62,3.79
2024-04-18,Quimper FC,Vannes AC,1,3,Ligue Demo,3.86,4.63,1.72
2024-04-19,Biarritz OL,Laval CF,1,0,Ligue Demo,1.87,4.74,3.25
2024-04-20,Rouen FC,Chartres SC,5,3,Ligue Demo,1.31,6.96,6.82
2024-04-22,Rouen FC,Verdun AC,2,2,Ligue Demo,1.16,8.32,14.02
2024-04-23,Biarritz OL,Albi SC,4,0,Ligue Demo,1.46,5.37,5.49
2024-04-24,Tarbes AS,Annecy SC,0,1,Ligue Demo,3.54,4.31,1.85
2024-04-25,Rouen FC,Albi SC,3,0,Ligue Demo,1.18,7.86,12.09
2024-04-26,Annecy SC,Biarritz OL,1,1,Ligue Demo,1.52,5.43,4.69
2024-04-27,Chartres SC,Vannes AC,2,1,Ligue Demo,2.94,4.22,2.09
2024-04-29,Perpignan FC,Verdun AC,4,0,Ligue Demo,1.43,5.02,6.4
2024-04-30,Laval CF,Rouen FC,0,3,Ligue Demo,5.09,4.95,1.52
2024-05-01,Biarritz OL,Quimper FC,3,0,Ligue Demo,1.51,5.03,5.16
2024-05-02,Vannes AC,Colmar United,3,0,Ligue Demo,1.69,4.26,4.35
2024-05-03,Verdun AC,Perpignan FC,0,1,Ligue Demo,3.99,4.04,1.8
2024-05-04,Albi SC,Perpignan FC,1,2,Ligue Demo,3.24,3.78,2.08
2024-05-06,Albi SC,Rouen FC,3,2,Ligue Demo,7.02,4.47,1.45
2024-05-07,Biarritz OL,Tarbes AS,2,2,Ligue Demo,1.75,4.35,3.95
2024-05-08,Biarritz OL,Colmar United,1,2,Ligue Demo,2.27,4.03,2.73
2024-05-09,Tarbes AS,Colmar United,1,3,Ligue Demo,2.99,4.22,2.07
2024-05-10,Rouen FC,Biarritz OL,1,1,Ligue Demo,1.5,5.28,5.08
2024-05-11,Annecy SC,Albi SC,1,0,Ligue Demo,1.26,6.78,8.97
2024-05-13,Verdun AC,Colmar United,0,1,Ligue Demo,5.64,4.21,1.56
2024-05-14,Biarritz OL,Verdun AC,1,1,Ligue Demo,1.4,5.39,6.52
2024-05-15,Perpignan FC,Vannes AC,1,1,Ligue Demo,2.71,3.82,2.36
2024-05-16,Verdun AC,Vannes AC,1,5,Ligue Demo,6.52,5.27,1.4
2024-05-17,Vannes AC,Verdun AC,6,0,Ligue Demo,1.19,6.9,13.69
2024-05-18,Chartres SC,Tarbes AS,3,3,Ligue Demo,1.92,3.93,3.56
2024-05-20,Annecy SC,Laval CF,2,0,Ligue Demo,1.43,4.86,6.59
2024-05-21,Vannes AC,Quimper FC,2,1,Ligue Demo,1.44,5.23,5.95
2024-05-22,Tarbes AS,Chartres SC,5,3,Ligue Demo,2.55,3.52,2.64
2024-05-23,Chartres SC,Annecy SC,0,4,Ligue Demo,3.3,3.86,2.03
2024-05-24,Perpignan FC,Colmar United,2,1,Ligue Demo,2.42,3.58,2.76
2024-05-25,Rouen FC,Perpignan FC,1,1,Ligue Demo,1.46,5.6,5.27
2024-05-27,Albi SC,Biarritz OL,4,3,Ligue Demo,3.89,4.21,1.78
2024-05-28,Rouen FC,Colmar United,1,3,Ligue Demo,1.54,5.21,4.69
2024-05-29,Laval CF,Colmar United,0,2,Ligue Demo,3.05,4.35,2.01
2024-05-30,Quimper FC,Laval CF,1,1,Ligue Demo,2.38,4.36,2.47
2024-05-31,Perpignan FC,Tarbes AS,3,1,Ligue Demo,1.88,4.31,3.44
2024-06-01,Laval CF,Verdun AC,1,2,Ligue Demo,1.65,3.98,5.08
2024-06-03,Chartres SC,Rouen FC,2,3,Ligue Demo,4.05,4.15,1.76
2024-06-04,Colmar United,Perpignan FC,2,0,Ligue Demo,1.8,4.83,3.44
2024-06-05,Rouen FC,Quimper FC,7,1,Ligue Demo,1.24,6.55,10.22
2024-06-06,Perpignan FC,Biarritz OL,0,2,Ligue Demo,2.62,3.74,2.46
2024-06-07,Quimper FC,Albi SC,1,2,Ligue Demo,1.84,4.55,3.43
2024-06-08,Perpignan FC,Chartres SC,3,1,Ligue Demo,2.1,3.88,3.11
2024-06-10,Colmar United,Tarbes AS,2,2,Ligue Demo,1.54,5.31,4.59
2024-06-11,Tarbes AS,Perpignan FC,1,1,Ligue Demo,2.75,3.78,2.34
2024-06-12,Rouen FC,Annecy SC,1,3,Ligue Demo,1.7,4.69,3.93
2024-06-13,Quimper FC,Chartres SC,1,1,Ligue Demo,3.24,3.85,2.06
2024-06-14,Verdun AC,Albi SC,2,4,Ligue Demo,2.47,3.72,2.63
2024-06-15,Verdun AC,Biarritz OL,2,2,Ligue Demo,4.55,5.0,1.57
2024-06-17,Colmar United,Chartres SC,2,1,Ligue Demo,1.67,4.11,4.71
2024-06-18,Biarritz OL,Perpignan FC,5,0,Ligue Demo,1.94,4.42,3.18
2024-06-19,Annecy SC,Vannes AC,5,0,Ligue Demo,1.74,5.01,3.57
2024-06-20,Tarbes AS,Quimper FC,4,0,Ligue Demo,1.86,4.21,3.58
2024-06-21,Verdun AC,Tarbes AS,1,3,Ligue Demo,2.64,5.16,2.07
2024-06-22,Chartres SC,Colmar United,1,2,Ligue Demo,2.76,4.32,2.16
2024-11-17,Vannes AC,Tarbes AS,3,2,Ligue Demo,1.6,4.5,4.77
2024-11-18,Verdun AC,Quimper FC,0,2,Ligue Demo,2.8,3.33,2.51
2024-11-19,Vannes AC,Quimper FC,1,1,Ligue Demo,1.39,4.96,7.57
2024-11-20,Quimper FC,Colmar United,2,2,Ligue Demo,3.41,3.78,2.01
2024-11-21,Tarbes AS,Albi SC,2,1,Ligue Demo,1.72,4.31,4.15
2024-11-22,Colmar United,Biarritz OL,7,3,Ligue Demo,2.01,4.19,3.13
2024-11-24,Biarritz OL,Rouen FC,4,4,Ligue Demo,3.5,4.39,1.85
2024-11-25,Rouen FC,Colmar United,4,2,Ligue Demo,1.68,4.06,4.65
2024-11-26,Tarbes AS,Rouen FC,1,5,Ligue Demo,4.93,5.12,1.52
2024-11-27,Biarritz OL,Chartres SC,3,0,Ligue Demo,1.89,4.53,3.28
2024-11-28,Albi SC,Vannes AC,1,0,Ligue Demo,4.88,4.97,1.54
2024-11-29,Annecy SC,Perpignan FC,1,2,Ligue Demo,1.49,5.63,4.85
2024-12-01,Verdun AC,Biarritz OL,0,2,Ligue Demo,4.22,3.9,1.78
2024-12-02,Perpignan FC,Verdun AC,0,1,Ligue Demo,1.48,4.55,6.32
2024-12-03,Tarbes AS,Quimper FC,1,0,Ligue Demo,1.81,3.95,4.04
2024-12-04,Verdun AC,Albi SC,1,0,Ligue Demo,2.58,3.88,2.44
2024-12-05,Verdun AC,Perpignan FC,3,4,Ligue Demo,4.44,4.07,1.71
2024-12-06,Colmar United,Vannes AC,2,4,Ligue Demo,2.48,4.02,2.49
2024-12-08,Biarritz OL,Tarbes AS,1,1,Ligue Demo,1.73,4.29,4.11
2024-12-09,Tarbes AS,Verdun AC,2,0,Ligue Demo,1.56,4.44,5.28
2024-12-10,Vannes AC,Annecy SC,1,0,Ligue Demo,2.4,4.37,2.45
2024-12-11,Verdun AC,Chartres SC,2,3,Ligue Demo,3.26,4.24,1.95
2024-12-12,Verdun AC,Rouen FC,1,2,Ligue Demo,9.8,6.53,1.25
2024-12-13,Chartres SC,Quimper FC,3,2,Ligue Demo,2.12,4.14,2.93
2024-12-15,Albi SC,Laval CF,3,3,Ligue Demo,2.54,3.44,2.7
2024-12-16,Tarbes AS,Biarritz OL,2,0,Ligue Demo,2.61,3.91,2.41
2024-12-17,Rouen FC,Tarbes AS,6,0,Ligue Demo,1.22,7.28,10.12
2024-12-18,Perpignan FC,Chartres SC,0,1,Ligue Demo,2.0,4.06,3.24
2024-12-19,Albi SC,Rouen FC,0,3,Ligue Demo,6.61,6.36,1.34
2024-12-20,Chartres SC,Laval CF,3,3,Ligue Demo,2.0,3.8,3.44
2024-12-22,Vannes AC,Colmar United,1,2,Ligue Demo,1.96,4.21,3.26
2024-12-23,Laval CF,Chartres SC,2,0,Ligue Demo,2.24,4.75,2.51
2024-12-24,Colmar United,Laval CF,2,3,Ligue Demo,1.69,4.1,4.56
2024-12-25,Tarbes AS,Colmar United,2,0,Ligue Demo,2.82,4.44,2.11
2024-12-26,Verdun AC,Annecy SC,1,2,Ligue Demo,6.75,5.73,1.37
2024-12-27,Vannes AC,Verdun AC,6,0,Ligue Demo,1.25,6.8,9.35
2024-12-29,Rouen FC,Vannes AC,1,1,Ligue Demo,1.75,3.9,4.38
2024-12-30,Biarritz OL,Colmar United,0,1,Ligue Demo,2.05,4.73,2.82
2024-12-31,Albi SC,Perpignan FC,2,1,Ligue Demo,3.07,4.03,2.08
2025-01-01,Verdun AC,Vannes AC,0,1,Ligue Demo,5.54,4.65,1.52
2025-01-02,Colmar United,Verdun AC,4,1,Ligue Demo,1.29,6.21,8.3
2025-01-03,Colmar United,Rouen FC,1,0,Ligue Demo,3.16,4.38,1.96
2025-01-05,Biarritz OL,Perpignan FC,2,1,Ligue Demo,2.21,4.09,2.8
2025-01-06,Quimper FC,Vannes AC,1,2,Ligue Demo,3.9,4.48,1.74
2025-01-07,Annecy SC,Biarritz OL,3,1,Ligue Demo,1.61,4.76,4.51
2025-01-08,Annecy SC,Chartres SC,2,3,Ligue Demo,1.57,4.49,5.08
2025-01-09,Tarbes AS,Laval CF,3,2,Ligue Demo,2.02,3.91,3.28
2025-01-10,Verdun AC,Laval CF,3,1,Ligue Demo,3.01,4.0,2.12
2025-01-12,Perpignan FC,Quimper FC,2,0,Ligue Demo,1.74,4.39,3.98
2025-01-13,Colmar United,Albi SC,3,1,Ligue Demo,1.4,5.49,6.31
2025-01-14,Quimper FC,Perpignan FC,0,0,Ligue Demo,3.39,3.31,2.19
2025-01-15,Annecy SC,Vannes AC,1,2,Ligue Demo,1.93,4.03,3.46
2025-01-16,Rouen FC,Albi SC,5,0,Ligue Demo,1.19,8.06,11.1
2025-01-17,Annecy SC,Albi SC,1,3,Ligue Demo,1.21,7.89,9.64
2025-01-19,Quimper FC,Rouen FC,1,1,Ligue Demo,6.47,4.8,1.44
2025-01-20,Laval CF,Tarbes AS,2,2,Ligue Demo,2.4,3.51,2.83
2025-01-21,Tarbes AS,Perpignan FC,0,0,Ligue Demo,2.44,3.76,2.64
2025-01-22,Chartres SC,Tarbes AS,3,2,Ligue Demo,1.95,4.28,3.23
2025-01-23,Chartres SC,Vannes AC,0,1,Ligue Demo,2.98,4.55,2.0
2025-01-24,Biarritz OL,Verdun AC,1,2,Ligue Demo,1.32,5.89,7.97
2025-01-26,Perpignan FC,Albi SC,2,0,Ligue Demo,1.55,4.43,5.38
2025-01-27,Laval CF,Vannes AC,5,1,Ligue Demo,3.64,4.45,1.8
2025-01-28,Rouen FC,Biarritz OL,1,0,Ligue Demo,1.5,5.34,4.95
2025-01-29,Albi SC,Tarbes AS,1,3,Ligue Demo,2.58,4.47,2.26
2025-01-30,Vannes AC,Albi SC,6,0,Ligue Demo,1.29,5.65,9.94
2025-01-31,Quimper FC,Chartres SC,1,1,Ligue Demo,2.67,3.98,2.33
2025-02-02,Annecy SC,Verdun AC,3,1,Ligue Demo,1.16,8.58,13.58
2025-02-03,Perpignan FC,Annecy SC,0,4,Ligue Demo,2.8,4.84,2.03
2025-02-04,Quimper FC,Biarritz OL,0,4,Ligue Demo,3.32,4.14,1.95
2025-02-05,Tarbes AS,Annecy SC,1,1,Ligue Demo,3.76,4.49,1.77
2025-02-06,Perpignan FC,Vannes AC,0,2,Ligue Demo,2.98,4.34,2.05
2025-02-07,Colmar United,Tarbes AS,2,1,Ligue Demo,1.52,5.17,4.89
2025-02-09,Laval CF,Albi SC,0,0,Ligue Demo,1.96,3.81,3.53
2025-02-10,Perpignan FC,Colmar United,0,4,Ligue Demo,2.71,3.66,2.43
2025-02-11,Biarritz OL,Annecy SC,5,1,Ligue Demo,2.99,4.07,2.1
2025-02-12,Laval CF,Verdun AC,1,0,Ligue Demo,1.67,4.69,4.11
2025-02-13,Verdun AC,Tarbes AS,2,0,Ligue Demo,3.17,3.91,2.07
2025-02-14,Quimper FC,Tarbes AS,2,1,Ligue Demo,2.54,3.28,2.81
2025-02-16,Annecy SC,Colmar United,0,2,Ligue Demo,1.78,4.18,3.95
2025-02-17,Rouen FC,Chartres SC,3,0,Ligue Demo,1.35,5.84,6.95
2025-02-18,Laval CF,Biarritz OL,1,2,Ligue Demo,3.13,3.61,2.18
2025-02-19,Albi SC,Annecy SC,1,3,Ligue Demo,5.1,4.65,1.55
2025-02-20,Rouen FC,Quimper FC,4,1,Ligue Demo,1.24,6.68,9.98
2025-02-21,Chartres SC,Annecy SC,2,2,Ligue Demo,3.33,4.04,1.97
2025-02-23,Vannes AC,Laval CF,4,0,Ligue Demo,1.43,5.58,5.66
2025-02-24,Chartres SC,Perpignan FC,3,0,Ligue Demo,2.41,3.64,2.74
2025-02-25,Chartres SC,Rouen FC,2,2,Ligue Demo,4.78,4.88,1.56
2025-02-26,Laval CF,Perpignan FC,0,1,Ligue Demo,2.88,3.8,2.25
2025-02-27,Laval CF,Quimper FC,2,0,Ligue Demo,1.95,3.62,3.74
2025-02-28,Quimper FC,Verdun AC,2,0,Ligue Demo,1.73,3.9,4.54
2025-03-02,Chartres SC,Colmar United,3,1,Ligue Demo,2.78,4.04,2.23
